"VMail Message","Day Mins","Eve Mins","Night Mins","Intl Mins","CustServ Calls","Day Calls","Day Charge","Eve Calls","Eve Charge","Night Calls","Night Charge","Intl Calls","Intl Charge","Area Code","Phone","Account Length","Churn","Int'l Plan","VMail Plan","State"
0,278.4,81,163.2,9.8,1,106,47.33,113,6.89,137,7.34,5,2.65,408,69,104,"0",0,0,22
0,212.1,209.4,167.2,5.3,1,131,36.06,104,17.8,96,7.52,5,1.43,408,70,120,"1",0,0,40
0,170.5,173.7,248.6,11.3,1,94,28.99,109,14.76,75,11.19,2,3.05,408,72,122,"0",0,0,29
0,238.1,187.2,190,11.8,4,65,40.48,98,15.91,115,8.55,4,3.19,408,73,95,"0",0,0,16
0,229.8,147.9,241.4,9.6,3,90,39.07,121,12.57,108,10.86,7,2.59,408,74,157,"0",0,0,28
0,165,317.2,119.2,8.3,1,100,28.05,83,26.96,86,5.36,8,2.24,408,75,120,"0",0,0,41
0,185,223.3,222.8,12.6,2,117,31.45,94,18.98,91,10.03,2,3.4,415,76,103,"0",0,0,4
0,126.7,206,247.8,13.3,1,108,21.54,90,17.51,114,11.15,7,3.59,408,77,125,"0",0,0,26
0,58.9,169.6,211.4,9.4,1,125,10.01,59,14.42,88,9.51,3,2.54,415,78,63,"0",0,0,16
42,196.8,254.9,138.3,20,0,89,33.46,122,21.67,126,6.22,6,5.4,510,79,36,"1",1,1,42
0,282.5,219.9,170,9.4,1,114,48.03,48,18.69,115,7.65,4,2.54,415,81,74,"1",0,0,36
36,113.7,157.5,177.6,10,2,117,19.33,82,13.39,118,7.99,3,2.7,510,82,112,"0",0,1,5
0,210.2,227.3,200.1,13.1,1,92,35.73,77,19.32,116,9,7,3.54,408,84,46,"0",0,0,43
22,213.8,141.8,142.2,7.2,0,102,36.35,86,12.05,123,6.4,3,1.94,408,85,41,"0",0,1,14
0,154.2,110.2,227.4,9.2,2,119,26.21,98,9.37,117,10.23,5,2.48,510,87,130,"0",0,0,36
0,201.4,229.4,252.5,12,1,52,34.24,104,19.5,106,11.36,3,3.24,408,88,85,"0",0,0,16
0,166.3,158.2,256.7,6.1,1,125,28.27,86,13.45,80,11.55,5,1.65,408,91,75,"0",0,0,31
0,129.9,173.3,247.2,11.2,3,112,22.08,83,14.73,130,11.12,3,3.02,510,92,91,"0",1,0,44
36,183.2,126.8,263.3,11.2,1,117,31.14,76,10.78,71,11.85,8,3.02,510,93,127,"0",0,1,22
23,205,152,158.6,10.2,2,101,34.85,60,12.92,59,7.14,5,2.75,415,94,113,"0",0,1,36
0,148.5,276.4,193.6,12.4,1,115,25.25,84,23.49,112,8.71,3,3.35,510,95,110,"0",0,0,26
0,167.1,177.5,249.4,14.1,2,86,28.41,87,15.09,132,11.22,7,3.81,408,98,117,"1",1,0,12
0,146.7,203.5,203.4,13.7,1,91,24.94,78,17.3,110,9.15,3,3.7,408,99,127,"0",0,0,45
0,181.5,218.4,161.6,8.5,1,121,30.86,98,18.56,103,7.27,5,2.3,408,100,121,"0",0,0,6
43,257.7,162.1,286.9,11.1,2,97,43.81,95,13.78,86,12.91,4,3,408,101,145,"0",0,1,8
0,102.8,206.7,299,10.1,1,119,17.48,91,17.57,105,13.46,7,2.73,415,102,117,"0",0,0,43
0,226,248.5,140.5,6.9,1,112,38.42,118,21.12,142,6.32,11,1.86,415,103,56,"0",0,0,8
0,260.4,146,269.5,11.5,5,115,44.27,46,12.41,87,12.13,4,3.11,415,104,96,"0",0,0,3
0,183.6,256.7,178.6,10.2,1,117,31.21,72,21.82,79,8.04,2,2.75,510,106,6,"0",0,0,5
24,142.1,183.4,164.8,9.6,1,124,24.16,129,15.59,114,7.42,4,2.59,510,107,115,"0",0,1,15
0,217.1,241.5,253.5,12,0,110,36.91,111,20.53,103,11.41,6,3.24,415,109,141,"0",0,0,13
0,206.3,148.6,167.2,6.1,1,151,35.07,89,12.63,91,7.52,3,1.65,415,111,146,"0",0,0,3
33,243.1,213.8,228.7,12.1,2,92,41.33,92,18.17,104,10.29,2,3.27,415,112,92,"0",0,1,26
31,189.8,163.3,264.8,7.5,1,126,32.27,133,13.88,126,11.92,3,2.03,510,113,185,"0",0,1,21
0,202,243.2,261.3,10.9,1,102,34.34,128,20.67,90,11.76,3,2.94,415,114,148,"0",0,0,37
0,237.1,223.5,97.4,13.2,1,105,40.31,105,19,79,4.38,2,3.56,408,115,68,"0",0,0,30
27,182.1,169.7,164.7,10.6,2,91,30.96,98,14.42,86,7.41,5,2.86,408,116,64,"0",0,1,20
0,119.3,211.5,268.9,10.5,3,87,20.28,101,17.98,86,12.1,4,2.84,415,117,25,"0",0,0,35
0,252.6,169,170.9,11.1,2,104,42.94,125,14.37,106,7.69,7,3,415,118,94,"0",0,0,43
0,232.1,292.3,201.2,0,3,122,39.46,112,24.85,112,9.05,0,0,408,119,70,"0",0,0,0
0,58.2,138.7,136.8,11.9,5,94,9.89,118,11.79,91,6.16,1,3.21,415,120,126,"1",0,0,22
36,115.6,237.7,169.9,9.9,2,111,19.65,94,20.2,103,7.65,12,2.67,408,121,67,"0",0,1,10
0,186.1,254.3,214,14.6,2,98,31.64,57,21.62,127,9.63,7,3.94,408,122,19,"0",0,0,20
0,259.9,245,134.4,8.4,3,68,44.18,122,20.83,121,6.05,3,2.27,510,123,170,"0",1,0,13
0,214.3,268.5,241.2,10.8,1,145,36.43,135,22.82,92,10.85,13,2.92,415,124,73,"0",0,0,35
0,271.6,229.4,77.3,10.9,2,71,46.17,108,19.5,121,3.48,3,2.94,415,125,93,"0",0,0,16
0,133.8,180.5,112.2,8.9,0,85,22.75,94,15.34,115,5.05,4,2.4,415,127,107,"0",0,0,30
0,176.9,90.7,238,9.5,1,109,30.07,104,7.71,69,10.71,2,2.57,415,128,130,"0",0,0,14
0,209.9,195.1,208.2,8.8,2,74,35.68,77,16.58,119,9.37,4,2.38,408,129,80,"0",0,0,38
23,198.1,177,180.5,6.8,1,86,33.68,86,15.05,92,8.12,6,1.84,415,131,117,"0",0,1,23
0,326.5,176.3,181.7,10.7,2,67,55.51,113,14.99,102,8.18,6,2.89,510,132,208,"1",0,0,14
0,182.3,328.2,245,11.2,2,101,30.99,93,27.9,131,11.03,1,3.02,408,133,62,"0",0,0,26
0,140.6,178.6,217,6.8,2,109,23.9,51,15.18,83,9.76,3,1.84,510,135,105,"0",0,0,41
36,106.7,209.8,190.4,12.1,1,76,18.14,77,17.83,117,8.57,2,3.27,415,136,66,"0",0,1,5
0,243.8,83.9,179.8,13.7,2,98,41.45,72,7.13,84,8.09,8,3.7,415,137,122,"0",0,0,29
0,194.4,186.7,223.3,10.8,3,94,33.05,95,15.87,90,10.05,5,2.92,415,138,38,"0",0,0,25
0,213.9,151.9,260.1,12.2,3,95,36.36,70,12.91,124,11.7,5,3.29,510,139,106,"0",0,0,23
0,241.1,155.6,188.2,11.6,1,72,40.99,98,13.23,109,8.47,10,3.13,415,140,99,"0",0,0,6
0,203.5,247.6,194.3,11.9,0,100,34.6,103,21.05,94,8.74,11,3.21,510,141,144,"0",1,0,16
24,155.2,244.5,122.4,10.7,1,131,26.38,106,20.78,68,5.51,3,2.89,415,142,82,"0",0,1,47
0,226.7,228.1,73.2,17.6,2,98,38.54,115,19.39,93,3.29,4,4.75,510,143,70,"1",1,0,15
0,151.4,186.4,172.5,10.9,0,89,25.74,76,15.84,120,7.76,3,2.94,415,144,93,"0",0,0,15
0,180,224.2,265.4,4.7,3,80,30.6,82,19.06,91,11.94,7,1.27,415,145,120,"0",0,0,15
0,250.2,267.1,151,13,1,121,42.53,118,22.7,114,6.8,2,3.51,415,146,136,"1",0,0,23
0,223,110.1,188.7,7.1,0,121,37.91,98,9.36,107,8.49,12,1.92,415,147,106,"0",0,0,44
22,166,174.5,244.9,10.2,1,114,28.22,103,14.83,68,11.02,6,2.75,408,148,127,"0",0,1,48
0,149.3,242.2,174.3,8.9,2,113,25.38,122,20.59,104,7.84,6,2.4,408,149,35,"0",0,0,42
0,213.4,234.5,250.1,2.7,1,111,36.28,94,19.93,123,11.25,4,0.73,415,150,65,"0",0,0,29
22,196.6,313.2,163.3,11.9,0,84,33.42,92,26.62,108,7.35,3,3.21,415,152,45,"0",0,1,38
0,203.1,217,180.9,13.5,3,96,34.53,126,18.45,122,8.14,2,3.65,415,153,100,"0",0,0,3
0,173.1,240.3,233.2,9,1,140,29.43,105,20.43,117,10.49,5,2.43,415,155,92,"0",1,0,11
0,134.4,211.3,193.6,10.2,5,106,22.85,98,17.96,125,8.71,2,2.75,510,156,139,"1",0,0,34
40,202.6,118.8,234.9,9,2,103,34.44,128,10.1,98,10.57,9,2.43,408,157,110,"0",0,1,32
0,83.6,120.9,226.6,10.7,0,148,14.21,91,10.28,110,10.2,9,2.89,510,158,215,"0",0,0,27
0,192.2,168.6,139.8,9.4,1,86,32.67,116,14.33,87,6.29,6,2.54,415,159,73,"0",0,0,44
0,220.2,88.3,195.3,12.9,0,89,37.43,125,7.51,79,8.79,5,3.48,510,160,138,"0",0,0,2
0,225,176.9,194.3,7.1,3,81,38.25,63,15.04,110,8.74,2,1.92,408,162,85,"0",0,0,7
0,110.3,166.5,202.3,9.5,0,107,18.75,93,14.15,96,9.1,5,2.57,408,163,22,"0",0,0,46
37,60,102.2,261.8,11.1,0,102,10.2,80,8.69,106,11.78,3,3,415,164,107,"0",0,1,8
0,214.8,149.7,283.4,10.2,0,94,36.52,58,12.72,66,12.75,5,2.75,510,165,51,"0",0,0,29
0,181.8,202.4,245.9,9.2,4,85,30.91,98,17.2,97,11.07,2,2.48,408,166,94,"0",0,0,16
23,154,278,228.4,11.8,2,114,26.18,137,23.63,112,10.28,4,3.19,510,167,119,"0",0,1,35
29,157.4,117.9,279.2,13.9,4,99,26.76,80,10.02,79,12.56,11,3.75,415,168,33,"1",0,1,25
0,207.9,172,191.8,14.4,4,91,35.34,109,14.62,143,8.63,7,3.89,415,169,106,"0",0,0,2
0,84.7,249.9,193.4,14.5,1,118,14.4,86,21.24,95,8.7,8,3.92,415,172,114,"0",0,0,14
0,155.2,235.3,169.4,8.7,1,79,26.38,123,20,80,7.62,4,2.35,510,174,59,"0",0,0,28
25,164.9,209.3,231.2,6.7,1,110,28.03,105,17.79,55,10.4,9,1.81,510,175,24,"0",0,1,34
0,134.5,143.1,223.9,15.4,1,88,22.87,112,12.16,61,10.08,1,4.16,408,176,151,"0",0,0,19
0,143.3,211.3,185.2,11.5,1,103,24.36,108,17.96,96,8.33,3,3.11,415,177,117,"0",0,0,35
0,168.3,221.2,241,12.5,1,110,28.61,73,18.8,136,10.85,1,3.38,510,178,78,"0",0,0,46
0,262.4,194.6,146.5,8.3,2,55,44.61,113,16.54,85,6.59,6,2.24,408,179,155,"0",0,0,33
0,206.6,224.9,249.9,14.6,0,105,35.12,117,19.12,100,11.25,3,3.94,415,181,101,"0",0,0,47
28,214.4,235.2,206.2,8,3,78,36.45,100,19.99,107,9.28,13,2.16,415,183,49,"0",0,1,44
0,172.3,174,188.2,13,2,97,29.29,108,14.79,119,8.47,4,3.51,415,187,143,"0",0,0,17
28,221.6,288.4,240.3,9,1,74,37.67,100,24.51,105,10.81,2,2.43,415,188,86,"0",0,1,41
0,206.4,128,194.5,8.8,2,122,35.09,102,10.88,84,8.75,5,2.38,510,189,137,"0",0,0,41
0,207.6,132.4,255.2,14.1,0,88,35.29,63,11.25,98,11.48,5,3.81,510,190,167,"0",0,0,44
34,230.6,219.4,299.3,8,0,121,39.2,99,18.65,94,13.47,2,2.16,415,192,199,"0",0,1,49
0,85.7,247.7,142.4,10.1,2,83,14.57,67,21.05,85,6.41,5,2.73,415,195,74,"0",0,0,37
0,157.6,184.3,240.4,11.9,0,117,26.79,58,15.67,99,10.82,1,3.21,415,196,36,"0",0,0,39
0,181.5,199.9,287.7,6.6,1,98,30.86,88,16.99,114,12.95,5,1.78,415,197,94,"0",0,0,34
0,92,253.6,214.1,10.3,1,117,15.64,77,21.56,90,9.63,10,2.78,510,199,136,"0",0,0,16
0,234,249.5,173.1,9.1,2,109,39.78,114,21.21,70,7.79,5,2.46,415,200,196,"0",0,0,5
0,296.4,214.8,133.9,11.4,4,99,50.39,89,18.26,107,6.03,3,3.08,408,201,122,"1",0,0,29
0,194.4,190.3,183.4,11.4,0,101,33.05,82,16.18,107,8.25,2,3.08,510,202,112,"0",0,0,8
0,227.2,258.4,183.5,8.9,3,128,38.62,92,21.96,74,8.26,4,2.4,415,203,209,"0",0,0,32
0,205.6,169.5,220.1,10.9,0,69,34.95,93,14.41,64,9.9,3,2.94,510,204,16,"0",0,0,13
0,60.4,306.2,123.9,12.4,1,158,10.27,120,26.03,46,5.58,3,3.35,408,206,39,"0",0,0,4
28,121,270.4,160.5,7.7,2,105,20.57,100,22.98,76,7.22,4,2.08,415,207,103,"0",0,1,21
29,117.8,256.8,147.6,7.6,3,66,20.03,114,21.83,76,6.64,3,2.05,415,208,119,"0",0,1,8
21,232.4,211.9,273,5,3,96,39.51,118,18.01,102,12.29,5,1.35,510,209,173,"0",0,1,11
0,138.7,256.9,234.9,10,0,107,23.58,113,21.84,74,10.57,3,2.7,408,211,104,"0",0,0,13
0,207,154.9,245.1,13.4,3,91,35.19,121,13.17,112,11.03,5,3.62,408,213,129,"0",0,0,13
30,58.8,219.5,152.3,7.1,0,104,10,107,18.66,118,6.85,3,1.92,510,214,100,"0",0,1,42
35,68.7,209.2,197.4,11.4,1,95,11.68,69,17.78,42,8.88,4,3.08,408,215,121,"0",0,1,44
0,192.1,312.9,130.2,7.9,3,98,32.66,135,26.6,94,5.86,2,2.13,510,217,116,"0",0,0,15
0,272.6,248.7,197.4,9.5,1,83,46.34,74,21.14,111,8.88,2,2.57,415,218,54,"1",0,0,17
0,225.1,199.2,175.5,14.6,0,67,38.27,127,16.93,102,7.9,2,3.94,408,221,78,"0",0,0,22
0,213,176.6,262.6,9.1,1,63,36.21,71,15.01,126,11.82,1,2.46,415,222,89,"1",0,0,21
0,183.9,255.9,275,10.8,1,115,31.26,101,21.75,145,12.38,11,2.92,415,223,101,"0",0,0,34
34,221.8,161.7,227.7,14,0,105,37.71,85,13.74,62,10.25,7,3.78,415,224,44,"0",0,1,19
37,154.6,83.4,165.9,13.3,1,92,26.28,103,7.09,99,7.47,3,3.59,510,225,64,"0",0,1,46
0,220.6,155.2,186.7,10.5,1,117,37.5,121,13.19,89,8.4,11,2.84,510,227,162,"0",0,0,12
0,182.5,204.7,229.9,11.3,4,104,31.03,95,17.4,100,10.35,8,3.05,510,228,59,"0",0,0,22
38,220.1,234.3,237.3,10.1,4,78,37.42,71,19.92,85,10.68,4,2.73,415,229,179,"0",1,1,39
0,236.2,218.6,194.1,13.2,2,77,40.15,85,18.58,97,8.73,2,3.56,408,230,64,"1",1,0,40
0,244.6,188.8,206,11.3,1,89,41.58,80,16.05,114,9.27,4,3.05,408,231,124,"0",1,0,31
23,134.2,227.3,122.4,8.5,2,85,22.81,132,19.32,96,5.51,2,2.3,408,232,122,"0",0,1,35
29,150.1,264.7,178.4,5.8,1,109,25.52,103,22.5,97,8.03,4,1.57,408,233,90,"0",0,1,46
0,257.1,312.2,183,8.8,1,53,43.71,127,26.54,82,8.24,6,2.38,408,234,159,"1",1,0,30
0,124.4,179.7,253,11.3,0,83,21.15,81,15.27,99,11.39,6,3.05,415,235,148,"0",0,0,26
0,162.3,213.7,192.1,10.9,0,88,27.59,118,18.16,81,8.64,2,2.94,408,237,194,"0",0,0,3
0,193.3,264.1,128.6,9.1,4,96,32.86,123,22.45,115,5.79,3,2.46,415,239,112,"0",0,0,33
0,78.2,253.4,255,18,1,127,13.29,108,21.54,100,11.48,3,4.86,415,240,45,"0",0,0,23
0,83.4,232.2,146.7,7.6,1,110,14.18,137,19.74,114,6.6,5,2.05,415,241,132,"0",0,0,0
0,195.6,267.8,164.9,16,0,99,33.25,120,22.76,76,7.42,2,4.32,415,242,128,"0",0,0,4
0,218,114.4,269.2,12.4,0,57,37.06,88,9.72,95,12.11,1,3.35,415,243,151,"1",1,0,31
21,214,180,134.5,10.6,0,113,36.38,114,15.3,82,6.05,5,2.86,415,245,87,"0",0,1,32
0,205.7,214.5,226.1,6.7,1,123,34.97,108,18.23,106,10.17,18,1.81,408,247,79,"0",0,0,50
0,165.5,286.2,198.9,11.5,1,84,28.14,112,24.33,89,8.95,2,3.11,415,248,95,"1",1,0,5
22,196,322.7,225.6,3.7,1,82,33.32,82,27.43,120,10.15,5,1,415,252,117,"0",1,1,29
0,159.5,247.1,187.9,7.2,2,125,27.12,90,21,82,8.46,4,1.94,408,253,84,"0",0,0,1
0,230.2,220.4,204.7,10.7,4,113,39.13,79,18.73,111,9.21,7,2.89,415,254,137,"0",0,0,0
0,146.7,274,321.3,8.9,3,64,24.94,99,23.29,98,14.46,1,2.4,415,255,99,"0",0,0,49
0,210.5,204.5,127.8,8.5,1,102,35.79,83,17.38,53,5.75,5,2.3,510,256,54,"0",0,0,20
0,126,238.5,285.1,10.2,3,99,21.42,73,20.27,100,12.83,6,2.75,510,258,150,"0",0,0,40
0,168.4,243.8,214.7,11.1,1,125,28.63,89,20.72,102,9.66,2,3,415,259,43,"0",0,0,7
0,105.6,258.2,213.1,8.7,0,129,17.95,129,21.95,77,9.59,3,2.35,415,260,35,"0",0,0,4
0,229.6,205.7,166.2,10.8,0,78,39.03,108,17.48,91,7.48,2,2.92,510,261,16,"1",0,0,24
22,278.3,93.4,107.6,9.7,0,89,47.31,143,7.94,42,4.84,5,2.62,415,262,98,"0",0,1,48
0,138.6,199,204.1,7.8,0,102,23.56,93,16.92,137,9.18,4,2.11,408,263,84,"0",0,0,14
0,234.4,279.3,234.2,2,1,103,39.85,109,23.74,121,10.54,2,0.54,415,264,94,"1",0,0,25
31,121,218.9,226.7,12,1,105,20.57,98,18.61,110,10.2,1,3.24,415,266,98,"0",0,1,21
26,145.8,192.2,165.1,9.9,1,108,24.79,89,16.34,96,7.43,2,2.67,408,268,96,"0",0,1,28
0,222.8,163.2,160.6,11.2,1,122,37.88,107,13.87,112,7.23,6,3.02,510,269,119,"0",0,0,38
0,183.4,242,201.4,7.5,4,80,31.18,115,20.57,100,9.06,3,2.03,415,270,73,"0",0,0,1
0,264.3,160.9,198.6,9.3,0,91,44.93,115,13.68,73,8.94,5,2.51,415,271,92,"0",1,0,24
0,157.1,184.9,197.2,8.5,4,134,26.71,122,15.72,59,8.87,5,2.3,510,272,122,"1",0,0,26
0,127.3,251.3,135,10.3,1,108,21.64,81,21.36,88,6.08,3,2.78,510,273,133,"0",1,0,8
0,97.2,186.2,189,10.4,2,80,16.52,90,15.83,92,8.5,6,2.81,415,274,64,"0",0,0,36
0,169.5,124,219.4,10,0,77,28.82,87,10.54,92,9.87,3,2.7,415,276,76,"0",0,0,25
0,239.7,282.9,238.4,8.7,2,47,40.75,110,24.05,88,10.73,3,2.35,415,277,113,"1",0,0,26
0,184.1,327,212.5,7.5,2,98,31.3,73,27.8,106,9.56,6,2.03,415,279,115,"0",0,0,36
28,206.9,264.4,171.8,9.3,2,126,35.17,126,22.47,124,7.73,11,2.51,415,280,141,"0",0,1,35
0,259.9,176.2,77.2,15.3,1,114,44.18,94,14.98,112,3.47,1,4.13,510,281,51,"0",0,0,34
0,203.8,283.1,197.3,12.5,0,122,34.65,76,24.06,83,8.88,3,3.38,415,282,100,"0",0,0,2
45,248.8,140.3,263.6,10.3,3,124,42.3,77,11.93,102,11.86,2,2.78,415,283,96,"0",0,1,29
16,221.6,130.2,200,11.3,1,110,37.67,123,11.07,108,9,3,3.05,415,284,112,"0",0,1,37
0,122.4,113.4,180.2,12.5,1,129,20.81,108,9.64,97,8.11,7,3.38,415,286,163,"0",0,0,42
40,104.9,216.3,217.4,9.6,1,65,17.83,93,18.39,128,9.78,9,2.59,415,287,67,"0",0,1,20
0,119.4,273.3,214.4,12.4,2,69,20.3,92,23.23,153,9.65,7,3.35,510,288,49,"0",0,0,25
0,250.3,260.6,195,13.3,2,100,42.55,90,22.15,104,8.78,2,3.59,510,289,46,"1",0,0,0
0,178.3,282.6,181,11.4,1,98,30.31,110,24.02,98,8.15,4,3.08,415,290,148,"0",0,0,43
0,243.4,182.1,259.2,12.8,1,77,41.38,97,15.48,94,11.66,2,3.46,510,291,112,"0",0,0,41
31,288.7,203.8,203.2,8.6,0,101,49.08,102,17.32,49,9.14,3,2.32,408,292,61,"0",0,1,47
0,190.3,301.3,214.6,8,1,123,32.35,96,25.61,134,9.66,3,2.16,415,293,155,"0",0,0,35
0,278,176.7,219.5,8.3,0,76,47.26,74,15.02,126,9.88,4,2.24,510,294,100,"1",0,0,1
0,155,330.6,189.4,13.5,1,93,26.35,106,28.1,123,8.52,3,3.65,510,295,113,"0",0,0,27
0,153.5,197.6,198.5,6.3,2,99,26.1,102,16.8,86,8.93,2,1.7,415,296,81,"0",0,0,41
29,133.1,221.2,131.6,6.8,1,114,22.63,82,18.8,103,5.92,3,1.84,510,297,59,"0",0,1,39
0,165.4,196,349.2,9.6,2,107,28.12,126,16.66,110,15.71,7,2.59,408,298,85,"0",1,0,24
0,59.5,257.2,208.3,11.1,0,103,10.12,106,21.86,86,9.37,6,3,510,299,70,"0",0,0,14
0,286.7,134.4,192.9,6.9,2,100,48.74,121,11.42,122,8.68,5,1.86,510,301,55,"0",0,0,35
23,225.5,246.3,245.7,9.8,0,107,38.34,105,20.94,81,11.06,2,2.65,408,302,86,"0",0,1,0
20,198.9,274,190.7,14.3,1,77,33.81,88,23.29,76,8.58,9,3.86,415,304,149,"0",0,1,6
0,256.4,273.9,222.7,11.1,1,125,43.59,100,23.28,101,10.02,1,3,408,305,97,"1",0,0,1
0,264.8,245.4,160.5,14.8,1,124,45.02,112,20.86,115,7.22,2,4,415,306,88,"1",0,0,4
28,190.6,220.1,180.3,6,3,86,32.4,122,18.71,80,8.11,3,1.62,415,307,11,"0",0,1,37
0,261.8,220.6,136.6,9.6,1,128,44.51,104,18.75,91,6.15,5,2.59,415,308,90,"0",0,0,28
